question,answer
網上理財 / 流動理財證券交易步驟,"
							
								登入中信銀行國際網上理財/流動理財 
								選擇證券交易 > 選擇證券交易市場（香港證券交易 / 滬港通 / 美國證券交易） >  交易
								輸入買賣交易指示內容 > 按遞交鍵
								核實交易指示內容無誤 > 按確定鍵
								系統接納交易指示後，會顯示交易編號(你可於「交易情況 / 更改交易指示」查詢有關交易狀態資料)
							
						"
我需要提供什麼資料作買賣指令？,"
							當閣下登入後，可以在交易頁面頁進行買賣，請參照以下步驟：
							
								於報價欄輸入證券代號索取證券價格。(如果閣下不知道證券代號，請按「代號搜尋」進行查詢。)
								選擇適當的證券交易戶口
								選擇交易類別（如適用）
								輸入適當的證券編號(如果閣下不知道證券代號，請按「編號搜尋」進行查詢。)
								在「股數」欄輸入閣下想買入或賣出的股數。
								輸入「限定價格」（如適用）
								選擇「有效日期」（如適用）。
								按「遞交」按鈕預覽閣下所輸入的指令或按「清除」按鈕清除所有以選擇之項目及重新開始。
								按「確定」進行閣下的交易指令。
							
							交易確認隨後便會顯示，以確定此交易指令已被接受並進行處理。此時，閣下亦會收到一個交易編號。
						"
當我買賣證券時，中信銀行(國際)何時會於我的賬戶內扣除我已購入之證券款項 ？,"
							當本行確認處理買盤指示後，有關之買貨金額將會被凍結於閣下的證券結算賬戶內。本行會於結算日於閣下之賬戶內扣除已認購之證券款項。閣下已購入之證券於交易日及結算日中間之時段仍然於閣下之賬戶內享有利息。
						"
我可如何透過網上理財查詢證劵交易之購買力？,"
							請於交易頁面，選擇適當的證券交易戶口，再按「查詢結算戶口結餘」，各貨幣之可供交易的總結餘即一目了然。
						"
我如何確定我的交易指令已透過互聯網傳到中信銀行(國際)，並且已經得到處理？,"
							閣下會立即在網上收到一個交易編號，這表示本行已收到閣下的指令。閣下需按「交易狀況」檢閱閣下的買賣指令狀況，查看閣下指令是否經已執行。
							買賣狀況的類別包括執行中、已掛牌、全數成交、部份成交、已過期指令及交易被拒絕。
							
								待處理 - 交易指示待本行處理。
								執行中 - 交易指示處理中。
								已掛牌 - 待完成交易指示。
								全數成交 - 交易指示全數被執行。
								部份成交 - 交易指示部份被執行。
								已過期指令 - 交易指示還未執行因已過了原有之指定時間。
								交易被拒絕 - 交易指示因特定原因被拒絕。
							
						"
我可如何查詢交易狀況或成盤結果？,"
							你只須在證券交易版面，再進入「交易情況 / 更改交易指示」版面，便可查詢交易狀況或成盤結果。你亦可選擇接收電郵/短訊以獲通知成盤結果。
						"
我如果想更改正在處理中或其他的指令，我可以怎樣做？,"
							
								按「交易情況 / 更改交易指示」。
								在選定之交易指示列選擇「更改」，畫面上便會隨後出現「更改買賣指令」版面。
								於所需的欄目內輸入更改的指令。此時現有指令詳情會列在畫面的左方，使比較起來更為方便。
								交易確認隨後便會顯示，以確定此交易指令當中的更改已被接收，並進行處理。在這裡，閣下可進入「交易狀況」連結查核閣下的指令狀況。 
							
							請注意：本行將盡最大努力迅速地將取消交易指示遞交至各個交易市場。任何全數取消，未完成交易或部份成交之更改交易指示，並不能保證完全執行，基於原有的交易指示或已部份或全部被執行。更改交易指示或取消交易指示將視乎市場情況及原有的交易指示之執行情況而定。
						"
如果我想取消正在處理中或已部份成交的指令，我可以怎樣做？,"
							
								按「交易情況/更改交易指示」。
								在選定之交易指示列選擇「取消」，畫面上便會隨後出現「取消交易指示」版面。
								按「取消交易」鍵以確定進行取消指令的步驟。
								如果閣下選擇取消了一張不當的指令或閣下原本並不想取消的指令，請按「取消」鍵。如果當中發生錯誤，此時版面會顯示詳情。
								交易確認隨後便會顯示，以確定此交易指令已被接收，並進行處理。在這裡，閣下可再按入「交易狀況」查核閣下的指令狀況。
							
							閣下可取消仍未成交的證券買賣指令。只須到「交易狀況」版面然後按「取消」，閣下便可取消指令。請注意客户所提交的取消指令本行將盡最大努力迅速地將取消交易指示遞交至各個交易市場。任何全數取消，未完成交易或部份成交之更改交易指示，並不能保證完全執行，基於原有的交易指示或已部份或全部被執行。
						"
如果我的買賣指令在有效日期收市前仍未被執行將會怎樣處理？,"
							在有效日期收市後，所有未能配對的買賣盤將被刪除。如閣下想將指令於下一個工作天執行，閣下須在收市後重新輸入指令。
						"
未成交的交易指示被取消時，交易狀況及結餘會有什麽變化？,"
							被取消之交易所涉及的「待執行指令所預留現金」會撥回至「買貨可使用結餘」。
						"
